"Year","Distance","BLOCK","avg.index"
2004,"3-4 blocks right",1483,137.350243938848
2004,"3-4 blocks right",1577,137.350243938848
2004,"3-4 blocks right",1581,137.350243938848
2004,"3-4 blocks right",1582,137.350243938848
2004,"3-4 blocks right",1583,137.350243938848
2004,"3-4 blocks right",1584,137.350243938848
2004,"3-4 blocks right",1585,137.350243938848
2004,"3-4 blocks right",1586,137.350243938848
2004,"3-4 blocks right",1589,137.350243938848
2004,"3-4 blocks right",1590,137.350243938848
2004,"3-4 blocks right",1484,137.350243938848
2004,"3-4 blocks right",1485,137.350243938848
2004,"3-4 blocks right",1487,137.350243938848
2004,"3-4 blocks right",1489,137.350243938848
2004,"3-4 blocks right",1580,137.350243938848
2004,"4-5 blocks left",1386,162.418581285216
2004,"4-5 blocks left",1507,162.418581285216
2004,"4-5 blocks left",1393,162.418581285216
2004,"4-5 blocks left",1504,162.418581285216
2004,"4-5 blocks left",1505,162.418581285216
2004,"4-5 blocks left",1506,162.418581285216
2004,"4-5 blocks left",1385,162.418581285216
2004,"4-5 blocks left",1493,162.418581285216
2004,"4-5 blocks left",1494,162.418581285216
2004,"4-5 blocks left",1383,162.418581285216
2004,"4-5 blocks left",1392,162.418581285216
2004,"4-5 blocks left",1498,162.418581285216
2004,"4-5 blocks left",1602,162.418581285216
2004,"4-5 blocks left",1387,162.418581285216
2004,"4-5 blocks left",1384,162.418581285216
2004,"4-5 blocks left",1389,162.418581285216
2004,"4-5 blocks left",1503,162.418581285216
2004,"4-5 blocks left",1390,162.418581285216
2004,"4-5 blocks left",1391,162.418581285216
2004,"4-5 blocks left",1492,162.418581285216
2004,"4-5 blocks left",1497,162.418581285216
2004,"4-5 blocks left",1502,162.418581285216
2004,"4-5 blocks left",1495,162.418581285216
2004,"4-5 blocks left",1496,162.418581285216
2004,"4-5 blocks left",1501,162.418581285216
2004,"4-5 blocks left",1499,162.418581285216
2004,"4-5 blocks left",1388,162.418581285216
2004,"4-5 blocks left",1500,162.418581285216
2004,"4-5 blocks left",1491,162.418581285216
2004,"other",489,274.355226593489
2004,"other",909,274.355226593489
2004,"other",1122,274.355226593489
2004,"other",1150,274.355226593489
2004,"other",1198,274.355226593489
2004,"other",1245,274.355226593489
2004,"other",1364,274.355226593489
2004,"other",1367,274.355226593489
2004,"other",1369,274.355226593489
2004,"other",1370,274.355226593489
2004,"other",1374,274.355226593489
2004,"other",1375,274.355226593489
2004,"other",1376,274.355226593489
2004,"other",1377,274.355226593489
2004,"other",1378,274.355226593489
2004,"other",1379,274.355226593489
2004,"other",1380,274.355226593489
2004,"other",1381,274.355226593489
2004,"other",1382,274.355226593489
2004,"other",1770,274.355226593489
2004,"other",1771,274.355226593489
2004,"other",1772,274.355226593489
2004,"other",1773,274.355226593489
2004,"other",1774,274.355226593489
2004,"other",1777,274.355226593489
2004,"other",1783,274.355226593489
2004,"other",1785,274.355226593489
2004,"other",1786,274.355226593489
2004,"other",1788,274.355226593489
2004,"other",1789,274.355226593489
2004,"other",1394,274.355226593489
2004,"other",1395,274.355226593489
2004,"other",1396,274.355226593489
2004,"other",1397,274.355226593489
2004,"other",1398,274.355226593489
2004,"other",1399,274.355226593489
2004,"other",1400,274.355226593489
2004,"other",1401,274.355226593489
2004,"other",1402,274.355226593489
2004,"other",1608,274.355226593489
2004,"other",1613,274.355226593489
2004,"other",1614,274.355226593489
2004,"other",1616,274.355226593489
2004,"other",1617,274.355226593489
2004,"other",1622,274.355226593489
2004,"other",1455,274.355226593489
2004,"other",1456,274.355226593489
2004,"other",1457,274.355226593489
2004,"other",1458,274.355226593489
