"Year","Block","Total","index","Distance","avg.index"
2001,1660,5,0,"other",0
2001,1661,4,0,"other",0
2001,1665,7,0,"other",0
2001,1666,8,0,"other",0
2001,1667,2,0,"other",0
2001,1669,25,0,"other",0
2001,1671,2,0,"other",0
2001,1673,6,0,"other",0
2001,1674,3,0,"other",0
2001,1675,9,0,"other",0
2001,1676,9,0,"other",0
2001,1677,2,0,"other",0
2001,1680,4,0,"other",0
2001,1681,6,0,"other",0
2001,1683,10,0,"other",0
2001,1687,16,0,"other",0
2001,1688,15,0,"other",0
2001,1691,1,0,"other",0
2001,1693,3,0,"other",0
2001,1696,2,0,"other",0
2001,1699,12,0,"other",0
2001,1700,1,0,"other",0
2001,1701,4,0,"other",0
2001,1708,10,0,"other",0
2001,1709,7,0,"other",0
2001,1710,6,0,"other",0
2001,1711,4,0,"other",0
2001,1715,11,0,"other",0
2001,1716,14,0,"other",0
2001,1718,2,0,"other",0
2001,1722,3,0,"other",0
2001,1745,26,0,"other",0
2001,1746,26,0,"other",0
2001,1747,5,0,"other",0
2001,1749,5,0,"other",0
2001,1750,24,0,"other",0
2001,1751,17,0,"other",0
2001,1752,3,0,"other",0
2001,1753,15,0,"other",0
2001,1754,13,0,"other",0
2001,1767,12,0,"other",0
2001,1769,6,0,"other",0
2001,1770,8,0,"other",0
2001,1771,13,0,"other",0
2001,1772,7,0,"other",0
2001,1774,36,0,"other",0
2001,1775,12,0,"other",0
2001,1777,4,0,"other",0
2001,1783,12,0,"other",0
2001,1784,3,0,"other",0
2001,1785,5,0,"other",0
2001,1786,21,0,"other",0
2001,1787,11,0,"other",0
2001,1788,13,0,"other",0
2001,1789,3,0,"other",0
2001,1790,3,0,"other",0
2001,1792,1,0,"other",0
2001,1795,12,0,"other",0
2001,1796,6,0,"other",0
2001,1797,1,0,"other",0
2001,1802,5,0,"other",0
2001,1806,8,0,"other",0
2001,1807,2,0,"other",0
2001,1808,2,0,"other",0
2001,1815,14,0,"other",0
2001,1819,9,0,"other",0
2002,0,1,-0.976190476190476,"other",0.552239650630474
2002,1375,61,-0.0615384615384615,"other",0.552239650630474
2002,1376,62,1.58333333333333,"other",0.552239650630474
2002,1377,44,-0.137254901960784,"other",0.552239650630474
2002,1378,52,0.130434782608696,"other",0.552239650630474
2002,1379,47,-0.347222222222222,"other",0.552239650630474
2002,1380,27,-0.0357142857142857,"other",0.552239650630474
2002,1381,51,-0.163934426229508,"other",0.552239650630474
2002,1382,39,-0.264150943396226,"other",0.552239650630474
2002,1383,28,-0.471698113207547,"4-5 blocks left",0.070687751877067
2002,1384,55,0.0576923076923077,"4-5 blocks left",0.070687751877067
2002,1385,40,-0.230769230769231,"4-5 blocks left",0.070687751877067
2002,1386,44,0.257142857142857,"4-5 blocks left",0.070687751877067
2002,1387,48,0.0434782608695652,"4-5 blocks left",0.070687751877067
2002,1388,37,0.193548387096774,"4-5 blocks left",0.070687751877067
2002,1389,58,0.487179487179487,"4-5 blocks left",0.070687751877067
2002,1390,42,-0.192307692307692,"4-5 blocks left",0.070687751877067
2002,1391,56,-0.0967741935483871,"4-5 blocks left",0.070687751877067
2002,1392,57,0.266666666666667,"4-5 blocks left",0.070687751877067
