,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,ADDRESS_clean,FullAddress,LAT_LONG,LAT,LONG,YEAR,MONTH
3710,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1628,1209, ,R4,194 EAST 101 STREET,2B,10029,1,0,1, -  , -  ,2005,2,R4,710000,1/31/17,40.788449,-73.947436,"(40.788449, -73.947436)",40.788449,-73.947436,2017,1
3044,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1589,41, ,D4,"55 EAST END AVENUE, 16J", ,10028,0,0,0,0,0,1951,2,D4,713000,4/3/17,55 EAST END AVENUE,"55 EAST END AVENUE New York, NY 10028","(40.772152,-73.946576)",40.772152,-73.946576,2017,4
379,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1518,1027, ,R4,120 EAST 90TH   STREET,12B,10128,1,0,1,0,0,1962,2,R4,715000,2/8/18,120 EAST 90TH   STREET,"120 EAST 90TH   STREET New York, NY 10128","(40.782085, -73.954056)",40.782085,-73.954056,2018,2
1898,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1464,1007, ,R4,400 EAST 70TH STREET,308,10021,1,0,1,0,0,1984,2,R4,715000,7/31/17,400 EAST 70TH STREET,"400 EAST 70TH STREET New York, NY 10021","(40.7661506,-73.9568006)",40.7661506,-73.9568006,2017,7
2258,1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2C,1504,142, ,C6,"70 EAST 93RD STREET, 2B", ,10128,0,0,0,0,0,1925,2,C6,715000,7/7/17,70 EAST 93RD STREET,"70 EAST 93RD STREET New York, NY 10128","(40.7847329,-73.9547298)",40.7847329,-73.9547298,2017,7
2875,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1556,23, ,D4,"345 EAST 93RD STREET, 31H", ,10128,0,0,0,0,0,1974,2,D4,715000,9/14/17,345 EAST 93RD STREET,"345 EAST 93RD STREET New York, NY 10128","(40.781566,-73.946314)",40.781566,-73.946314,2017,9
3226,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1527,1118, ,R4,215 EAST 81ST   STREET,5B,10028,1,0,1,0,0,0,2,R4,715000,6/6/17,215 EAST 81ST   STREET,"215 EAST 81ST   STREET New York, NY 10028","(40.775387,-73.95555)",40.775387,-73.95555,2017,6
3416,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1552,1133, ,R4,300 EAST 90TH   STREET,PH10B,10128,1,0,1,0,0,1987,2,R4,715000,9/19/17,300 EAST 90TH   STREET,"300 EAST 90TH   STREET New York, NY 10128","(40.780217,-73.949626)",40.780217,-73.949626,2017,9
3657,1,UPPER EAST SIDE (96-110),10 COOPS - ELEVATOR APARTMENTS             ,2,1602,60, ,D4,"12 EAST 97TH STREET, 3I", ,10029,0,0,0,0,0,1926,2,D4,715000,5/11/17,12 EAST 97TH STREET,"12 EAST 97TH STREET New York, NY 10029","(40.78801235,-73.95445716)",40.78801235,-73.95445716,2017,5
1375,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,1, ,D4,"301 EAST 78TH STREET, 17E", ,10075,0,0,0,0,0,1963,2,D4,716500,3/17/17,301 EAST 78TH STREET,"301 EAST 78TH STREET New York, NY 10075","(40.7725754,-73.9552149)",40.7725754,-73.9552149,2017,3
1297,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,9, ,D4,"315 EAST 72ND STREET, 17J", ,10021,0,0,0,0,0,1958,2,D4,717000,7/24/17,315 EAST 72ND STREET,"315 EAST 72ND STREET New York, NY 10021","(40.7687502,-73.9571521)",40.7687502,-73.9571521,2017,7
232,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1449,1302, ,R9,"343 EAST 74TH   STREET, 4B", ,10021,0,0,0,0,0,1986,2,R9,720000,2/27/18,343 EAST 74TH   STREET,"343 EAST 74TH   STREET New York, NY 10021","(40.7695382, -73.9557666)",40.7695382,-73.9557666,2018,2
1391,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,43, ,D4,"308 EAST 79TH STREET, 7K", ,10075,0,0,0,0,0,1928,2,D4,720000,9/6/17,308 EAST 79TH STREET,"308 EAST 79TH STREET New York, NY 10075","(40.772926,-73.954489)",40.772926,-73.954489,2017,9
2302,1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1555,19, ,C6,"333 EAST 92ND ST, 4B", ,10128,0,0,0,0,0,1910,2,C6,720000,8/28/17,333 EAST 92ND ST,"333 EAST 92ND ST New York, NY 10128","(40.7811655,-73.9472103)",40.7811655,-73.9472103,2017,8
3225,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1527,1113, ,R4,215 EAST 81ST STREET,4B,10028,1,0,1,0,0,0,2,R4,720000,11/13/17,215 EAST 81ST STREET,"215 EAST 81ST STREET New York, NY 10028","(40.7754688,-73.9554301)",40.7754688,-73.9554301,2017,11
3229,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1527,1137, ,R4,215 EAST 81ST  STREET,PHB,10028,1,0,1,0,0,0,2,R4,720000,5/8/17,215 EAST 81ST  STREET,"215 EAST 81ST  STREET New York, NY 10028","(40.7754688,-73.9554301)",40.7754688,-73.9554301,2017,5
3540,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1566,1005, ,R4,455 EAST 86TH   STREET,6A,10028,1,0,1,0,0,1986,2,R4,724459,9/28/17,455 EAST 86TH   STREET,"455 EAST 86TH   STREET New York, NY 10028","(40.776189,-73.947328)",40.776189,-73.947328,2017,9
1191,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1432,5, ,D4,"205 EAST 77TH   STREET, 7F", ,10075,0,0,0,0,0,1962,2,D4,725000,4/18/17,205 EAST 77TH   STREET,"205 EAST 77TH   STREET New York, NY 10075","(40.7728702,-73.9575359)",40.7728702,-73.9575359,2017,4
1474,1,UPPER EAST SIDE (59-79),12 CONDOS - WALKUP APARTMENTS              ,2,1424,1209, ,R2,212 EAST 70TH   STREET,2D,10021,1,0,1,0,0,1900,2,R2,725000,3/24/17,212 EAST 70TH   STREET,"212 EAST 70TH   STREET New York, NY 10021","(40.767977,-73.960756)",40.767977,-73.960756,2017,3
1899,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1464,1055, ,R4,400 EAST 70TH STREET,908,10021,1,0,1,0,0,1984,2,R4,725000,5/19/17,400 EAST 70TH STREET,"400 EAST 70TH STREET New York, NY 10021","(40.7661506,-73.9568006)",40.7661506,-73.9568006,2017,5
2052,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1410,1102, ,R9,"1068 LEXINGTON AVENUE, 12C", ,10021,0,0,0,0,0,0,2,R9,725000,6/1/17,1068 LEXINGTON AVENUE,"1068 LEXINGTON AVENUE New York, NY 10021","(40.7730225,-73.9609311)",40.7730225,-73.9609311,2017,6
2676,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1523,1, ,D4,"1199 PARK AVENUE, 17-C", ,10128,0,0,0,0,0,1961,2,D4,725000,5/22/17,1199 PARK AVENUE,"1199 PARK AVENUE New York, NY 10128","(40.7851736,-73.9527438)",40.7851736,-73.9527438,2017,5
2728,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1532,22, ,D4,"250 EAST 87TH STREET, 14D", ,10028,0,0,0,0,0,1970,2,D4,725000,8/15/17,250 EAST 87TH STREET,"250 EAST 87TH STREET New York, NY 10028","(40.778543,-73.951672)",40.778543,-73.951672,2017,8
2985,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1579,15, ,D4,"525 EAST 82ND STREET, 2H", ,10028,0,0,0,0,0,1962,2,D4,725000,10/24/17,525 EAST 82ND STREET,"525 EAST 82ND STREET New York, NY 10028","(40.772837,-73.947519)",40.772837,-73.947519,2017,10
1114,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,1, ,D4,"203 EAST 72ND STREET, 5E", ,10021,0,0,0,0,0,1966,2,D4,726000,7/26/17,203 EAST 72ND STREET,"203 EAST 72ND STREET New York, NY 10021","(40.7697258,-73.95999545)",40.7697258,-73.95999545,2017,7
2947,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1566,34, ,D4,"430 EAST 87TH STREET, 1CD", ,10128,0,0,0,0,0,1925,2,D4,727500,8/25/17,430 EAST 87TH STREET,"430 EAST 87TH STREET New York, NY 10128","(40.776945,-73.947693)",40.776945,-73.947693,2017,8
265,1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2C,1545,33, ,C6,"334 EAST 83RD STREET, 3E2ER", ,10028,0,0,0,0,0,1920,2,C6,728000,1/12/18,334 EAST 83RD STREET,"334 EAST 83RD STREET New York, NY 10028","(40.7750744, -73.9515728)",40.7750744,-73.9515728,2018,1
2624,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1519,8, ,D4,"115 EAST 90TH STREET, 4C", ,10128,0,0,0,0,0,1923,2,D4,730000,9/22/17,115 EAST 90TH STREET,"115 EAST 90TH STREET New York, NY 10128","(40.782443,-73.954386)",40.782443,-73.954386,2017,9
2756,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1535,3, ,D4,"200 EAST 90TH STREET, 16D", ,10128,0,0,0,0,0,1980,2,D4,730000,9/29/17,200 EAST 90TH STREET,"200 EAST 90TH STREET New York, NY 10128","(40.7811626,-73.9518647)",40.7811626,-73.9518647,2017,9
1125,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,18, ,D4,"245 EAST 72ND  STREET, 14B", ,10021,0,0,0,0,0,1930,2,D4,731615,10/24/17,245 EAST 72ND  STREET,"245 EAST 72ND  STREET New York, NY 10021","(40.7692298,-73.958897)",40.7692298,-73.958897,2017,10
3350,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1543,1031, ,R4,345 EAST 80TH   STREET,27A,10075,1,0,1,0,0,1973,2,R4,731615,5/9/17,345 EAST 80TH   STREET,"345 EAST 80TH   STREET New York, NY 10075","(40.7734850999999,-73.9524683)",40.7734851,-73.9524683,2017,5
235,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1458,1103, ,R9,"420 EAST 64TH STREET, W4J", ,10065,0,0,0,0,0,1958,2,R9,735000,1/19/18,420 EAST 64TH STREET,"420 EAST 64TH STREET New York, NY 10065","(40.761988, -73.9584378)",40.761988,-73.9584378,2018,1
1070,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1413,64, ,D4,"120 EAST 79TH STREET, 10D", ,10075,0,0,0,0,0,1947,2,D4,735000,6/23/17,120 EAST 79TH STREET,"120 EAST 79TH STREET New York, NY 10075","(40.77513,-73.959708)",40.77513,-73.959708,2017,6
1200,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1432,45, ,D4,"200 EAST 78 STREET, 2F", ,10075,0,0,0,0,0,1965,2,D4,735000,11/9/17,200 EAST 78 STREET,"200 EAST 78 STREET New York, NY 10075","(40.7733199,-73.9576802)",40.7733199,-73.9576802,2017,11
1307,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1447,19, ,D4,"353 EAST 72ND STREET, 25C", ,10021,0,0,0,0,0,1975,2,D4,735000,12/5/17,353 EAST 72ND STREET,"353 EAST 72ND STREET New York, NY 10021","(40.76830675,-73.95646395)",40.76830675,-73.95646395,2017,12
3364,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1544,1015, ,R4,350 EAST 82ND STREET,3B,10028,1,0,1,0,0,1998,2,R4,735000,6/30/17,350 EAST 82ND STREET,"350 EAST 82ND STREET New York, NY 10028","(40.7743326,-73.9519172)",40.7743326,-73.9519172,2017,6
3243,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1532,1048, ,R4,225 EAST 86TH STREET,1103,10028,1,0,1,0,0,1981,2,R4,739000,9/26/17,225 EAST 86TH STREET,"225 EAST 86TH STREET New York, NY 10028","(40.7785182,-73.9528103)",40.7785182,-73.9528103,2017,9
130,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1456,26, ,D4,440 E 62, ,10065,0,0,0,0,0,1960,2,D4,740000,2/23/18,440 E 62,"440 E 62 New York, NY 10065","(40.7604291, -73.9587363)",40.7604291,-73.9587363,2018,2
1433,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1469,28, ,D4,"444 EAST 75TH ST, 18C", ,10021,0,0,0,0,0,1963,2,D4,740000,10/4/17,444 EAST 75TH ST,"444 EAST 75TH ST New York, NY 10021","(40.76879,-73.952555)",40.76879,-73.952555,2017,10
2078,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1433,1002, ,R9,"205 EAST 78TH STREET, 15R", ,10075,0,0,0,0,0,1931,2,R9,740000,4/13/17,205 EAST 78TH STREET,"205 EAST 78TH STREET New York, NY 10075","(40.7735677,-73.9574003)",40.7735677,-73.9574003,2017,4
2771,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1542,19, ,D4,"333 EAST 79TH STREET, 17M", ,10075,0,0,0,0,0,1961,2,D4,740000,11/13/17,333 EAST 79TH STREET,"333 EAST 79TH STREET New York, NY 10075","(40.7727532,-73.9532061)",40.7727532,-73.9532061,2017,11
2920,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1565,29, ,D4,"444 EAST 86TH STREET, PHC", ,10028,0,0,0,0,0,1973,2,D4,740000,9/19/17,444 EAST 86TH STREET,"444 EAST 86TH STREET New York, NY 10028","(40.7759724999999,-73.9478532)",40.7759725,-73.9478532,2017,9
2991,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1579,49, ,D4,"500 EAST 83RD STREET, 7A", ,10028,0,0,0,0,0,1965,2,D4,740000,6/23/17,500 EAST 83RD STREET,"500 EAST 83RD STREET New York, NY 10028","(40.773762,-73.948295)",40.773762,-73.948295,2017,6
3322,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1540,1086, ,R4,206 EAST 95TH   STREET,19B,10128,1,0,1,0,0,0,2,R4,740000,8/14/17,206 EAST 95TH   STREET,"206 EAST 95TH   STREET New York, NY 10128","(40.7840954,-73.94938764)",40.7840954,-73.94938764,2017,8
2163,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1458,1202, ,R9,"425 EAST 63 STREET, W9B", ,10065,0,0,0,0,0,0,2,R9,742119,12/1/17,425 EAST 63 STREET,"425 EAST 63 STREET New York, NY 10065","(40.761565,-73.95859)",40.761565,-73.95859,2017,12
210,1,UPPER EAST SIDE (59-79),43 CONDO OFFICE BUILDINGS                  ,4,1473,1308, ,RB,460 EAST 79TH   STREET,COMM2,10075,0,0,1,0,0,1960,4,RB,745000,2/5/18,460 EAST 79TH   STREET,"460 EAST 79TH   STREET New York, NY 10075","(40.771377, -73.950817)",40.771377,-73.950817,2018,2
1179,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1431,21, ,D4,"241 EAST 76 STREET, 6C", ,10075,0,0,0,0,0,1959,2,D4,745000,6/8/17,241 EAST 76 STREET,"241 EAST 76 STREET New York, NY 10075","(40.771615,-73.956723)",40.771615,-73.956723,2017,6
1224,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1439,1, ,D4,"301 EAST 64TH STREET, 14E", ,10065,0,0,0,0,0,1963,2,D4,745000,5/17/17,301 EAST 64TH STREET,"301 EAST 64TH STREET New York, NY 10065","(40.7637569,-73.9616521)",40.7637569,-73.9616521,2017,5
1390,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,43, ,D4,"308 EAST 79TH STREET, 14E", ,10075,0,0,0,0,0,1928,2,D4,745000,7/18/17,308 EAST 79TH STREET,"308 EAST 79TH STREET New York, NY 10075","(40.772926,-73.954489)",40.772926,-73.954489,2017,7
1456,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1473,18, ,D4,"440 EAST 79TH STREET, 3F", ,10075,0,0,0,0,0,1956,2,D4,745000,12/15/17,440 EAST 79TH STREET,"440 EAST 79TH STREET New York, NY 10075","(40.77167,-73.951506)",40.77167,-73.951506,2017,12
2061,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1424,1003, ,R9,"233 EAST 69TH STREET, 11H", ,10021,0,0,0,0,0,1957,2,R9,745000,6/2/17,233 EAST 69TH STREET,"233 EAST 69TH STREET New York, NY 10021","(40.767183,-73.960269)",40.767183,-73.960269,2017,6
2017,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1382,1003, ,R9,"20 EAST 68TH STREET, 12B", ,10065,0,0,0,0,0,1955,2,R9,747000,8/31/17,20 EAST 68TH STREET,"20 EAST 68TH STREET New York, NY 10065","(40.7691960999999,-73.9677083999999)",40.7691961,-73.9677084,2017,8
2823,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1549,18, ,D4,"345 EAST 86TH   STREET, 12C", ,10028,0,0,0,0,0,1971,2,D4,749000,11/7/17,345 EAST 86TH   STREET,"345 EAST 86TH   STREET New York, NY 10028","(40.7774427,-73.94991834)",40.7774427,-73.94991834,2017,11
2921,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1565,29, ,D4,"444 EAST 86TH STREET, 11E", ,10028,0,0,0,0,0,1973,2,D4,749000,9/15/17,444 EAST 86TH STREET,"444 EAST 86TH STREET New York, NY 10028","(40.7759724999999,-73.9478532)",40.7759725,-73.9478532,2017,9
585,1,HARLEM-EAST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,1676,1506, ,R1,2027 1ST AVENUE,6,10029,1,0,1,0,0,2005,2,R1,750000,3/30/17,2027 1ST AVENUE,"2027 1ST AVENUE New York, NY 10029","(40.7887818,-73.94104886)",40.7887818,-73.94104886,2017,3
1168,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1429,13, ,D4,"225 EAST 74TH STREET, 4B", ,10021,0,0,0,0,0,1938,2,D4,750000,6/21/17,225 EAST 74TH STREET,"225 EAST 74TH STREET New York, NY 10021","(40.77044,-73.957909)",40.77044,-73.957909,2017,6
1199,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1432,45, ,D4,"200 EAST 78TH STREET, 7B", ,10075,0,0,0,0,0,1965,2,D4,750000,6/22/17,200 EAST 78TH STREET,"200 EAST 78TH STREET New York, NY 10075","(40.7734262,-73.9576391)",40.7734262,-73.9576391,2017,6
1230,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1439,1, ,D4,"301 EAST 64 STREET, 8D", ,10065,0,0,0,0,0,1963,2,D4,750000,8/15/17,301 EAST 64 STREET,"301 EAST 64 STREET New York, NY 10065","(40.763723,-73.96176)",40.763723,-73.96176,2017,8
1240,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1443,1, ,D4,"315 EAST 68TH STREET, 8P", ,10065,0,0,0,0,0,1931,2,D4,750000,3/13/17,315 EAST 68TH STREET,"315 EAST 68TH STREET New York, NY 10065","(40.766215,-73.959912)",40.766215,-73.959912,2017,3
1289,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,23, ,D4,"360 EAST 72ND STREET, B1511", ,10021,0,0,0,0,0,1963,2,D4,750000,9/7/17,360 EAST 72ND STREET,"360 EAST 72ND STREET New York, NY 10021","(40.7677332,-73.9563296)",40.7677332,-73.9563296,2017,9
1366,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1451,31, ,D4,"350 EAST 77TH STREET, 6N", ,10075,0,0,0,0,0,1920,2,D4,750000,11/14/17,350 EAST 77TH STREET,"350 EAST 77TH STREET New York, NY 10075","(40.77144106,-73.95486327)",40.77144106,-73.95486327,2017,11
1389,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,43, ,D4,"308 EAST 79TH STREET, 14F", ,10075,0,0,0,0,0,1928,2,D4,750000,7/18/17,308 EAST 79TH STREET,"308 EAST 79TH STREET New York, NY 10075","(40.772926,-73.954489)",40.772926,-73.954489,2017,7
1881,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1457,1024, ,R4,403 EAST 62ND STREET,7C,10065,1,0,1,0,0,1985,2,R4,750000,4/20/17,403 EAST 62ND STREET,"403 EAST 62ND STREET New York, NY 10065","(40.7614157,-73.9599760999999)",40.7614157,-73.9599761,2017,4
1907,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1464,1086, ,R4,400 EAST 70TH   STREET,1407,10021,1,0,1,0,0,1984,2,R4,750000,6/8/17,400 EAST 70TH   STREET,"400 EAST 70TH   STREET New York, NY 10021","(40.7661623,-73.9567416)",40.7661623,-73.9567416,2017,6
1951,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1483,1020, ,R4,524 EAST 72ND STREET,24F,10021,1,0,1,0,0,1989,2,R4,750000,9/20/17,524 EAST 72ND STREET,"524 EAST 72ND STREET New York, NY 10021","(40.765998,-73.952149)",40.765998,-73.952149,2017,9
1963,1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1484,1248, ,R4,515 EAST 72ND   STREET,24A,10021,1,0,1,0,0,1985,2,R4,750000,4/17/17,515 EAST 72ND   STREET,"515 EAST 72ND   STREET New York, NY 10021","(40.766647,-73.952844)",40.766647,-73.952844,2017,4
2049,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1410,1102, ,R9,"136 EAST 76TH STREET, 8E", ,10021,0,0,0,0,0,0,2,R9,750000,7/24/17,136 EAST 76TH STREET,"136 EAST 76TH STREET New York, NY 10021","(40.773021,-73.960608)",40.773021,-73.960608,2017,7
2160,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1458,1202, ,R9,"425 EAST 63RD   STREET, RES", ,10065,0,0,0,0,0,0,2,R9,750000,4/27/17,425 EAST 63RD   STREET,"425 EAST 63RD   STREET New York, NY 10065","(40.7617137,-73.95872266)",40.7617137,-73.95872266,2017,4
2380,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1497,21, ,D4,"35 EAST 85TH STREET, 8DN", ,10028,0,0,0,0,0,1959,2,D4,750000,10/26/17,35 EAST 85TH STREET,"35 EAST 85TH STREET New York, NY 10028","(40.7801727,-73.9590434)",40.7801727,-73.9590434,2017,10
2510,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1508,31, ,D4,"179 EAST 79TH STREET, 11-B", ,10075,0,0,0,0,0,1928,2,D4,750000,4/21/17,179 EAST 79TH STREET,"179 EAST 79TH STREET New York, NY 10075","(40.774684,-73.95764764)",40.774684,-73.95764764,2017,4
2623,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1519,8, ,D4,"115 EAST 90TH STREET, 5D", ,10128,0,0,0,0,0,1923,2,D4,750000,8/10/17,115 EAST 90TH STREET,"115 EAST 90TH STREET New York, NY 10128","(40.782443,-73.954386)",40.782443,-73.954386,2017,8
2667,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1522,44, ,D4,"152 EAST 94TH STREET, 9D", ,10128,0,0,0,0,0,1938,2,D4,750000,6/8/17,152 EAST 94TH STREET,"152 EAST 94TH STREET New York, NY 10128","(40.7842192,-73.951458)",40.7842192,-73.951458,2017,6
2754,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1535,3, ,D4,"200 EAST 90TH STREET, 2D", ,10128,0,0,0,0,0,1980,2,D4,750000,6/13/17,200 EAST 90TH STREET,"200 EAST 90TH STREET New York, NY 10128","(40.7811626,-73.9518647)",40.7811626,-73.9518647,2017,6
2777,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1542,19, ,D4,"340 EAST 80TH STREET, 12H", ,10075,0,0,0,0,0,1961,2,D4,750000,7/18/17,340 EAST 80TH STREET,"340 EAST 80TH STREET New York, NY 10075","(40.7730858,-73.9528703)",40.7730858,-73.9528703,2017,7
2900,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1563,32, ,D4,"444 EAST 84TH STREET, 7B", ,10028,0,0,0,0,0,1964,2,D4,750000,9/11/17,444 EAST 84TH STREET,"444 EAST 84TH STREET New York, NY 10028","(40.774843,-73.948959)",40.774843,-73.948959,2017,9
2905,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1564,47, ,D4,"400 EAST 85TH STREET, 3D", ,10028,0,0,0,0,0,1962,2,D4,750000,10/31/17,400 EAST 85TH STREET,"400 EAST 85TH STREET New York, NY 10028","(40.776001,-73.949682)",40.776001,-73.949682,2017,10
2931,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1566,1, ,D4,"401 EAST 86TH STREET, 9H", ,10028,0,0,0,0,0,1963,2,D4,750000,7/31/17,401 EAST 86TH STREET,"401 EAST 86TH STREET New York, NY 10028","(40.776784,-73.948711)",40.776784,-73.948711,2017,7
3009,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1583,9, ,D4,"519 EAST 86TH STREET, 5C", ,10028,0,0,0,0,0,1939,2,D4,750000,8/29/17,519 EAST 86TH STREET,"519 EAST 86TH STREET New York, NY 10028","(40.7757596999999,-73.946223)",40.7757597,-73.946223,2017,8
3036,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1589,23, ,D4,"33 EAST END AVENUE, 6C", ,10028,0,0,0,0,0,1942,2,D4,750000,3/29/17,33 EAST END AVENUE,"33 EAST END AVENUE New York, NY 10028","(40.7715122,-73.9469031)",40.7715122,-73.9469031,2017,3
3046,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1589,41, ,D4,"55 EAST END AVENUE, 16B", ,10028,0,0,0,0,0,1951,2,D4,750000,11/2/17,55 EAST END AVENUE,"55 EAST END AVENUE New York, NY 10028","(40.772152,-73.946576)",40.772152,-73.946576,2017,11
